index_code,date,open,close,low,high,volume,money,change,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-07-17,2062.89,2055.59,2046.19,2062.89,10449181200.0,79106281032.0,-0.00565236572185,2061.368000000001,2048.7070000000003,2041.3323333333317,2059.862328014868,2053.0302437938085,2050.087039795019
sh000001,2014-07-16,2068.34,2067.28,2061.57,2075.49,13712802000.0,102030000000.0,-0.0014881491452900001,2057.9180000000006,2047.1145000000001,2041.5029999999983,2061.998492022302,2052.7607957721043,2049.9004979229967
sh000001,2014-07-15,2065.9,2070.36,2059.68,2070.36,12448876800.0,102894000000.0,0.00179566311792,2052.1840000000007,2046.5265,2042.0108333333317,2059.3577380334523,2051.232458484957,2049.311359490017
sh000001,2014-07-14,2047.74,2066.65,2044.9,2067.34,11511974000.0,96357013657.0,0.009616695188620001,2050.9160000000006,2046.3434999999997,2042.4863333333317,2053.856607050178,2049.219033062321,2048.597842784679
sh000001,2014-07-11,2033.87,2046.96,2033.0,2051.74,10508808300.0,86253717656.0,0.00422843664115,2049.572000000001,2047.31,2043.1274999999985,2047.4599105752668,2047.384194437302,2047.985902177092
sh000001,2014-07-10,2036.54,2038.34,2034.96,2045.53,9794381900.0,84748630822.0,-0.000132443054392,2052.056000000001,2048.498,2044.0381666666651,2047.7098658629,2047.428846483334,2048.020678702746
sh000001,2014-07-09,2061.64,2038.61,2037.6,2062.47,11330584100.0,97183492310.0,-0.012310436764,2057.0340000000006,2049.1665000000003,2045.5914999999984,2052.3947987943498,2048.3855671657902,2048.3488390654584
sh000001,2014-07-08,2058.13,2064.02,2047.2,2064.43,9505339300.0,81584449261.0,0.0019874490698,2061.196000000001,2049.9835,2047.123666666665,2059.2871981915246,2049.4145742358733,2048.678971036588
sh000001,2014-07-07,2058.13,2059.93,2050.89,2064.04,9716875400.0,81471314663.0,0.00026804248861900004,2058.4680000000008,2049.409,2048.2949999999983,2056.9207972872864,2047.8771609975443,2048.1589331706573
sh000001,2014-07-04,2062.36,2059.38,2054.22,2065.08,10500879200.0,83596436667.0,-0.00186794582666,2056.1480000000006,2047.9375,2049.050166666665,2055.4161959309295,2046.6084411025488,2047.7599115874468
sh000001,2014-07-03,2051.63,2063.23,2048.08,2066.64,12292658200.0,96182469062.0,0.00185052281761,2051.574000000001,2046.4665,2049.698499999998,2053.4342938963937,2045.2640664817645,2047.3660078677865
sh000001,2014-07-02,2049.49,2059.42,2044.04,2060.6,10955391100.0,89304983545.0,0.00440747353784,2046.6640000000011,2045.3489999999997,2049.6251666666653,2048.5364408445903,2043.372915585108,2046.8282420102682
sh000001,2014-07-01,2051.23,2050.38,2041.94,2052.64,9845740900.0,83499762384.0,0.0010027695773200001,2039.880000000001,2043.6195,2049.363166666665,2043.094661266885,2041.683748804593,2046.401399956067
sh000001,2014-06-30,2038.61,2048.33,2038.53,2052.34,9666659800.0,80011169570.0,0.00580257401142,2036.5900000000008,2043.039,2049.5066666666653,2039.4519919003271,2040.7683539419188,2046.2665312431632
sh000001,2014-06-27,2031.91,2036.51,2025.07,2043.98,9759201700.0,76710586646.0,-0.0010629442525700002,2031.7980000000007,2042.5829999999999,2049.492166666665,2035.0129878504906,2039.972391198963,2046.1965826591718
